formula,space_group
AgBr,P2_1/m
AgF2,P2_1/c
AgI,P4/nmm
AgNO2,P1
AgO4Cl,P-42m
AlOCl,Pmmn
As,Pmna
AuBr,Cmme
AuI,Cmme
AuSe,P2/m
BN,P-6m2
BaHI,P4/nmm
Bi,P-3m1
Bi2Se3,P-3m1
Bi2Te2S,P-3m1
Bi2Te2S-Cu5FeS4(hR5),P3m1
Bi2Te2Se,P-3m1
Bi2Te3,P-3m1
Bi2TeSe2,P-3m1
BiOBr,P4/nmm
BiOCl,P4/nmm
BiOI,P4/nmm
BiTeCl,P3m1
BiTeI,P3m1
C,P6/mmm
CLu2Cl2,P-3m1
Ca(OH)2,P-3m1
CaHBr,P4/nmm
CaHI,P4/nmm
CaI2,P-3m1
Cd(OH)2,P-3m1
CdBr2,P-3m1
CdCl2,P-3m1
CdI2,P-3m1
CdOCl,P3m1
CeSiI,P-3m1
Co(OH)2,C2/m
CoBr2,P-3m1
CoCl2,P-3m1
CoI2,C2/m
CoO2,P-3m1
CrBr2,P-1
CrI2,P2_1/m
CrOBr,Pmmn
CrOCl,Pmmn
CrSBr,Pmmn
CrSe2,C2/m
Cu2Te,C2/m
CuAgTe2,Pm
CuBr,P4/nmm
CuCl2,C2/m
CuI,C2/m
CuI-PtTe,P-3m1
CuTe,Pmmn
DySBr,Pmmn
DySI,Pmmn
ErHCl,P-3m1
ErSCl,Pmmn
ErSeI,Pmmn
EuOBr,P4/nmm
EuOI,P4/nmm
FeBr2,P-3m1
FeCl2,P-3m1
FeI2,P-3m1
FeO2,Pmmn
FeOCl,Pmmn
FeS,P4/nmm
FeSe,P4/nmm
FeTe,P4/nmm
GaGeTe,P-3m1
GaS,P-6m2
GaS-GaS_(P-3m1),P-3m1
GaSe,P-6m2
GaTe,P-6m2
GaTeCl,Pmn2_1
GeI2,P-3m1
GeI2-MoS2,P-6m2
GeS,Pmn2_1
GeSe,Pmn2_1
Hf3Te2,P4/mmm
HfNBr,P-3m1
HfNBr-FeOCl,Pmmn
HfNCl,P-3m1
HfNI,P-3m1
HfS2,P-3m1
HfSe2,P-3m1
HfSiTe,P4/nmm
HfTe2,P-3m1
HgI2,P-4m2
HoSI,Pmmn
In2Se3,C2
InOBr,Pmmn
InSe,C2/m
