material_id,pretty_formula
mp-10000,Hf2S
mp-10014,TaS2
mp-1002210,EuS
mp-10033,NbS2
mp-1004526,WS
mp-1008676,TiS2
mp-1008860,NbS2
mp-1008998,LaS
mp-10109,NpS
mp-1013525,VS2
mp-1013526,VS2
mp-1018028,TiS
mp-1018663,CeS2
mp-1018675,DyS2
mp-1018751,LaS2
mp-1018804,MnS2
mp-1018809,MoS2
mp-1023937,WS2
mp-1023939,MoS2
mp-1024087,Zr63S128
mp-1025571,WS2
mp-1027525,MoS2
mp-10281,ZnS
mp-1028441,WS2
mp-1050,Ni3S4
mp-10534,Sm10S19
mp-10628,TaS
mp-1068,CuS2
mp-1068462,LaS
mp-10695,ZnS
mp-1072086,TaS2
mp-1072088,TiS2
mp-1072192,TiS2
mp-10764,HgS
mp-1077072,GdS2
mp-1077263,TiS2
mp-1094038,TaS3
mp-1094089,NiS2
mp-1095335,MnS2
mp-1095440,CdS2
mp-1095479,GdS2
mp-1095641,Tb5S7
mp-1095694,Ag2S
mp-1096,CeS
mp-1096929,Zr64S127
mp-1096941,CuS
mp-1100827,Zr40S27
mp-1100925,V7S8
mp-1101023,TiS
mp-1101099,Ti2S3
mp-1101258,TiS2
mp-1101969,TiS2
mp-1102261,IrS2
mp-1102743,ZnS2
mp-1102845,TiS2
mp-1103125,Dy5S7
mp-1103643,NiS2
mp-1103658,LaS2
mp-1104577,Mo3S4
mp-1106110,Eu2S3
mp-1106367,HgS4
mp-1123,HgS
mp-1133,V5S4
mp-1146,ThS2
mp-1173629,Nb11S12
mp-1179413,TaS2
mp-1181862,CdS
mp-1183254,Ag3S
mp-1183733,Co3S
mp-1183858,CeS3
mp-1184315,EuS3
mp-1184373,Fe3S
mp-1184541,Eu3S
mp-1186,ZrS2
mp-1186431,Pd3S
mp-1186463,PdS3
mp-1186638,PmS3
mp-1187302,Tb3S
mp-1187407,TeS3
mp-1188005,Zr3S
mp-1188645,Y2S3
mp-1188655,Ir2S3
mp-1190042,U3S5
mp-1190583,NbS3
mp-1194185,U2S5
mp-1196782,ZnS
mp-1197374,Zr2S
mp-1198139,ZnS
mp-1199343,ZnS
mp-1200836,ZnS
mp-1201158,ZnS
mp-1201781,ZnS
mp-1202182,ZnS
mp-1202959,ZnS
mp-1203761,ZnS
mp-1205297,Tb2S3
mp-1205321,PtS
mp-1207843,V7S8
mp-1208223,Ti5S8
mp-12087,Cu2S
mp-1209790,Pu3S2
mp-1209834,Np2S5
mp-1210578,NbS6
mp-1210708,Mo21S8
mp-1214,VS
mp-1214753,AuS2
mp-1215375,Zr5S8
mp-1215419,Zr3S2
mp-1215543,Zr3S4
mp-1216463,V7S8
mp-1216498,V3S5
mp-1216778,TiS2
mp-1217073,Ti3S2
mp-1217101,Ti3S4
mp-1217163,Ti5S8
mp-1217166,Ti5S8
mp-1217172,Ti5S8
mp-1217192,Ti2S3
mp-1217388,Th7S12
mp-1217445,Ti5S8
mp-1217564,U11S20
mp-1217915,TaS2
mp-1219328,SeS7
mp-1219856,Pr5S8
mp-1220037,Pr5S9
mp-1220109,Ni3S2
mp-1220205,Nd5S4
mp-1220218,Nd5S8
mp-1220359,Nd5S9
mp-1220475,Nb7S8
mp-1220631,Nb3S4
mp-1220654,Nb5S8
mp-1220657,Nb3S5
mp-1223103,La5S8
mp-1223399,La5S7
mp-1225835,Cu2S
mp-1225858,Fe11S12
mp-1225993,Cu2S
mp-1226916,Ce5S8
mp-1232117,EuS2
mp-1232155,EuS2
mp-1232239,PmS
mp-1232269,SmS2
mp-1232271,PmS2
mp-1232273,SmS2
mp-1232280,SmS2
mp-1238797,MoS2
mp-1239203,MoS3
mp-12406,US3
mp-1244890,ZnS
mp-1244921,ZnS
mp-1244922,ZnS
mp-1244936,ZnS
mp-1244974,ZnS
mp-1244979,ZnS
mp-1244980,ZnS
mp-1244986,ZnS
mp-1244989,ZnS
mp-1245004,ZnS
mp-1245034,ZnS
mp-1245035,ZnS
mp-1245050,ZnS
