material_id,formula,space_group,nsites,count_unique_TM,count_TM,count_unique_C,count_C,consensus_formula,ab_angle(degree),caxis,mono_layer
mp-1023939,MoS2,P-3m1,6,1,1,1,2,MoS2,119.9999873907877,24.879004000000002,False
mp-1027525,MoS2,P-3m1,12,1,1,1,2,MoS2,119.9999873907877,39.758009,False
mp-1025799,MoSe2,P-6m2,9,1,1,1,2,MoSe2,120.000008867984,33.177135,False
mp-1023934,MoSe2,P-6m2,3,1,1,1,2,MoSe2,120.000008867984,17.725711999999998,True
mp-571270,NbSe2,P-6m2,12,1,1,1,2,NbSe2,120.00001184093959,26.396804,False
mp-643063,NbSe2,P-6m2,12,1,1,1,2,NbSe2,120.00001719131923,26.572188,False
mp-672271,NbSe2,P-6m2,12,1,1,1,2,NbSe2,119.99999617789926,29.273519,False
mp-571133,NbSe2,P-6m2,12,1,1,1,2,NbSe2,119.99999304809731,28.215334000000002,False
mp-1102379,ReSe2,P-6m2,12,1,1,1,2,ReSe2,120.00000970018064,25.923916000000002,False
mp-1101258,TiS2,P-3m1,9,1,1,1,2,TiS2,120.00000210375609,20.182872,False
mp-1023937,WS2,P-6m2,3,1,1,1,2,WS2,120.00001370802545,17.101201,True
mp-1025571,WS2,P-6m2,9,1,1,1,2,WS2,120.00001370802545,31.303603000000003,False
mp-1023936,WSe2,P-6m2,3,1,1,1,2,WSe2,120.00000904278978,17.527085,True
mp-1025572,WSe2,P-6m2,9,1,1,1,2,WSe2,120.00000849131088,32.590385,False
