material_id,formula,space_group,nsites,count_unique_TM,count_TM,count_unique_C,count_C,consensus_formula,ab_angle(degree),caxis
mp-10000,Hf2S,P6_3/mmc,6,1,2,1,1,Hf2S,120.00001383150375,11.787358
mp-10014,TaS2,R3m,3,1,1,1,2,TaS2,119.99998780224959,20.464008
mp-1002210,EuS,Pm-3m,2,1,1,1,1,EuS,90.0,3.555929
mp-10033,NbS2,P6_3/mmc,6,1,1,1,2,NbS2,120.00001934093866,13.393788
mp-1004526,WS,P6_3mc,4,1,1,1,1,WS,119.9999959844138,8.18096
mp-1008676,TiS2,P6/mmm,3,1,1,1,2,TiS2,120.0000071666323,2.923504
mp-1008860,NbS2,I4/mmm,3,1,1,1,2,NbS2,90.0,13.385797
mp-1008998,LaS,Pm-3m,2,1,1,1,1,LaS,90.0,3.575452
mp-10109,NpS,Fm-3m,2,1,1,1,1,NpS,90.0,5.526643
mp-1013525,VS2,P6_3/mmc,6,1,1,1,2,VS2,119.99999123448836,14.429642
mp-1013526,VS2,R-3m,3,1,1,1,2,VS2,120.00000777373893,19.290115
mp-1018028,TiS,P-6m2,2,1,1,1,1,TiS,119.99998283177263,3.219077
mp-1018663,CeS2,P4/nmm,6,1,1,1,2,CeS2,90.0,7.584455
mp-1018675,DyS2,P4/nmm,6,1,1,1,2,DyS2,90.0,7.981321
mp-1018751,LaS2,P4/nmm,6,1,1,1,2,LaS2,90.0,8.317678
mp-1018804,MnS2,Pnnm,6,1,1,1,2,MnS2,90.0,5.552881
mp-1018809,MoS2,P6_3/mmc,6,1,1,1,2,MoS2,119.99999820193571,13.982768
mp-1023937,WS2,P-6m2,3,1,1,1,2,WS2,120.00001370802546,17.101201
mp-1023939,MoS2,P-3m1,6,1,1,1,2,MoS2,119.99998739078767,24.879004
mp-1024087,Zr63S128,P-3m1,191,1,63,1,128,Zr63S128,120.00000118587914,25.193713
mp-1025571,WS2,P-6m2,9,1,1,1,2,WS2,120.00001370802546,31.303603
mp-1027525,MoS2,P-3m1,12,1,1,1,2,MoS2,119.99998739078767,39.758009
mp-10281,ZnS,P6_3mc,8,1,1,1,1,ZnS,120.00000594700296,12.608181
mp-1028441,WS2,P-3m1,12,1,1,1,2,WS2,119.99998260568461,38.404804
mp-1050,Ni3S4,Fd-3m,14,1,3,1,4,Ni3S4,90.0,9.415571
mp-10534,Sm10S19,P4_2/n,58,1,10,1,19,Sm10S19,90.0,16.07612
mp-10628,TaS,P-6m2,2,1,1,1,1,TaS,119.99999848028672,3.332707
mp-1068,CuS2,Pa-3,12,1,1,1,2,CuS2,90.0,5.799482
mp-1068462,LaS,Pmm2,4,1,1,1,1,LaS,90.0,90.953457
mp-10695,ZnS,F-43m,2,1,1,1,1,ZnS,90.0,5.45027
mp-1072086,TaS2,P6_3/mmc,6,1,1,1,2,TaS2,119.9999940024163,17.691022
mp-1072088,TiS2,Pnnm,6,1,1,1,2,TiS2,90.0,6.130934
mp-1072192,TiS2,P6_3/mmc,6,1,1,1,2,TiS2,120.00001227334981,4.97866
mp-10764,HgS,Fm-3m,2,1,1,1,1,HgS,90.0,5.58153
mp-1077072,GdS2,Fd-3m,6,1,1,1,2,GdS2,90.0,7.810885
mp-1077263,TiS2,C2/m,6,1,1,1,2,TiS2,90.0,-17.189422
mp-1094038,TaS3,Aea2,8,1,1,1,3,TaS3,90.0,5.342367
mp-1094089,NiS2,I4/mmm,3,1,1,1,2,NiS2,90.0,9.339979
mp-1095335,MnS2,P2_1/c,12,1,1,1,2,MnS2,90.0,-5.553654
mp-1095440,CdS2,Pa-3,12,1,1,1,2,CdS2,90.0,6.407949
mp-1095479,GdS2,P2_1/c,12,1,1,1,2,GdS2,90.0,-7.994134
mp-1095641,Tb5S7,C2/m,12,1,5,1,7,Tb5S7,90.0,-11.274428
mp-1095694,Ag2S,P2_12_12_1,12,1,2,1,1,Ag2S,90.0,7.303914
mp-1096,CeS,Fm-3m,2,1,1,1,1,CeS,90.0,5.682019
mp-1096929,Zr64S127,P3m1,191,1,64,1,127,Zr64S127,119.99999990941029,26.591321
mp-1096941,CuS,P3m1,2,1,1,1,1,CuS,119.99998782347585,5.320356
mp-1100827,Zr40S27,P3m1,67,1,40,1,27,Zr40S27,120.00000656944935,137.70235
mp-1100925,V7S8,P3_121,45,1,7,1,8,V7S8,120.00000820967689,18.031877
mp-1101023,TiS,Pmmn,4,1,1,1,1,TiS,90.0,34.648165
mp-1101099,Ti2S3,C2/m,10,1,2,1,3,Ti2S3,119.90606736198689,5.718487
mp-1101258,TiS2,P-3m1,9,1,1,1,2,TiS2,120.0000021037561,20.182872
mp-1101969,TiS2,Pnma,12,1,1,1,2,TiS2,90.0,7.951285
mp-1102261,IrS2,Pa-3,12,1,1,1,2,IrS2,90.0,5.74401
mp-1102743,ZnS2,Pa-3,12,1,1,1,2,ZnS2,90.0,6.000396
mp-1102845,TiS2,Pa-3,12,1,1,1,2,TiS2,90.0,6.006551
mp-1103125,Dy5S7,C2/m,12,1,5,1,7,Dy5S7,90.0,-11.239323
mp-1103643,NiS2,Pnma,12,1,1,1,2,NiS2,90.0,9.106198
mp-1103658,LaS2,P2_1/c,12,1,1,1,2,LaS2,90.0,-8.221503
mp-1104577,Mo3S4,P-1,14,1,3,1,4,Mo3S4,103.8733875794358,5.55566
mp-1106110,Eu2S3,Pnma,20,1,2,1,3,Eu2S3,90.0,15.264763
mp-1106367,HgS4,Pbcm,20,1,1,1,4,HgS4,90.0,13.192519
mp-1123,HgS,F-43m,2,1,1,1,1,HgS,90.0,6.007363
mp-1133,V5S4,I4/m,9,1,5,1,4,V5S4,90.0,3.162349
mp-1146,ThS2,Pnma,12,1,1,1,2,ThS2,90.0,8.65001
mp-1173629,Nb11S12,C2/c,46,1,11,1,12,Nb11S12,118.33313656970108,35.180534
mp-1179413,TaS2,P6/mmm,18,1,1,1,2,TaS2,120.00000233585054,18.796282
mp-1181862,CdS,Pmmn,4,1,1,1,1,CdS,90.0,5.511492
mp-1183254,Ag3S,P6_3/mmc,8,1,3,1,1,Ag3S,119.99999319915426,4.671398
mp-1183733,Co3S,P6_3/mmc,8,1,3,1,1,Co3S,120.00000615388225,3.923032
mp-1183858,CeS3,I4/mmm,4,1,1,1,3,CeS3,90.0,9.874899
mp-1184315,EuS3,I4/mmm,4,1,1,1,3,EuS3,90.0,10.132071
mp-1184373,Fe3S,P6_3/mmc,8,1,3,1,1,Fe3S,119.99999599355021,4.254747
mp-1184541,Eu3S,P6_3/mmc,8,1,3,1,1,Eu3S,119.99999595619883,3.824951
mp-1186,ZrS2,P-3m1,3,1,1,1,2,ZrS2,119.99999249696026,6.611133
mp-1186431,Pd3S,Fm-3m,4,1,3,1,1,Pd3S,90.0,6.260191
mp-1186463,PdS3,I4/mmm,4,1,1,1,3,PdS3,90.0,16.1282
mp-1186638,PmS3,P6_3/mmc,8,1,1,1,3,PmS3,119.99999072411823,5.675249
mp-1187302,Tb3S,Pm-3m,4,1,3,1,1,Tb3S,90.0,4.608296
mp-1187407,TeS3,P6_3/mmc,8,0,0,2,4,S3Te,120.00000339860676,3.719464
mp-1188005,Zr3S,Pm-3m,4,1,3,1,1,Zr3S,90.0,4.271621
mp-1188645,Y2S3,Pnma,20,1,2,1,3,Y2S3,90.0,10.69305
mp-1188655,Ir2S3,Pbcn,20,1,2,1,3,Ir2S3,90.0,8.555082
mp-1190042,U3S5,I4/mcm,16,1,3,1,5,U3S5,90.0,5.680567
mp-1190583,NbS3,P2_1/m,24,1,1,1,3,NbS3,90.0,-14.217758
mp-1194185,U2S5,Pbcn,28,1,2,1,5,U2S5,90.0,9.910275
mp-1196782,ZnS,R3m,36,1,1,1,1,ZnS,119.99999861340478,168.974172
mp-1197374,Zr2S,Pnnm,36,1,2,1,1,Zr2S,90.0,15.32995
mp-1198139,ZnS,R3m,36,1,1,1,1,ZnS,120.00000441926205,169.512678
mp-1199343,ZnS,R3m,36,1,1,1,1,ZnS,119.99999669787474,169.042944
mp-1200836,ZnS,R3m,36,1,1,1,1,ZnS,119.99999338856621,169.514324
mp-1201158,ZnS,R3m,36,1,1,1,1,ZnS,120.00001294837686,169.538215
mp-1201781,ZnS,R3m,36,1,1,1,1,ZnS,119.99999861340478,168.981266
mp-1202182,ZnS,R3m,36,1,1,1,1,ZnS,120.00000752755308,169.508214
mp-1202959,ZnS,R3m,36,1,1,1,1,ZnS,120.00001050345682,169.513576
mp-1203761,ZnS,R3m,36,1,1,1,1,ZnS,119.99999514320902,169.036337
mp-1205297,Tb2S3,Pnma,20,1,2,1,3,Tb2S3,90.0,15.244654
mp-1205321,PtS,P4_2/m,16,1,1,1,1,PtS,90.0,6.662467
mp-1207843,V7S8,P-3m1,15,1,7,1,8,V7S8,120.000006008635,6.049679
mp-1208223,Ti5S8,C2/m,13,1,5,1,8,Ti5S8,90.0,-5.927151
mp-12087,Cu2S,Fm-3m,3,1,2,1,1,Cu2S,90.0,5.552955
mp-1209790,Pu3S2,Pnma,20,1,3,1,2,Pu3S2,90.0,15.231355
mp-1209834,Np2S5,Pbcn,28,1,2,1,5,Np2S5,90.0,9.916599
mp-1210578,NbS6,Cmmm,7,1,1,1,6,NbS6,90.0,51.726074
mp-1210708,Mo21S8,I4/m,29,1,21,1,8,Mo21S8,90.0,3.174362
mp-1214,VS,P6_3/mmc,4,1,1,1,1,VS,119.99999059151732,6.461501
mp-1214753,AuS2,Pn-3m,6,1,1,1,2,AuS2,90.0,5.396146
mp-1215375,Zr5S8,F-43m,13,1,5,1,8,Zr5S8,90.0,10.591966
mp-1215419,Zr3S2,R32,5,1,3,1,2,Zr3S2,119.99999716831911,10.463319
mp-1215543,Zr3S4,Cmmm,14,1,3,1,4,Zr3S4,90.0,3.69193
mp-1216463,V7S8,C2/m,15,1,7,1,8,V7S8,90.0,-6.024093
mp-1216498,V3S5,P-1,16,1,3,1,5,V3S5,90.18039500146863,7.072156
mp-1216778,TiS2,R3m,12,1,1,1,2,TiS2,119.99999608493081,17.982754
mp-1217073,Ti3S2,R32,5,1,3,1,2,Ti3S2,119.9999968879706,9.712855
mp-1217101,Ti3S4,P3m1,7,1,3,1,4,Ti3S4,119.99999926161458,11.812203
mp-1217163,Ti5S8,Pm,13,1,5,1,8,Ti5S8,90.0,-11.759614
mp-1217166,Ti5S8,Cm,13,1,5,1,8,Ti5S8,90.0,-5.786911
mp-1217172,Ti5S8,R3m,13,1,5,1,8,Ti5S8,120.00000204906665,71.005986
mp-1217192,Ti2S3,C2/c,20,1,2,1,3,Ti2S3,90.0,-11.299288
mp-1217388,Th7S12,P-6,19,1,7,1,12,Th7S12,119.99999401126686,3.991332
mp-1217445,Ti5S8,Pm,39,1,5,1,8,Ti5S8,90.0,-35.363288
mp-1217564,U11S20,P4,31,1,11,1,20,U11S20,90.0,6.351927
mp-1217915,TaS2,Cmcm,6,1,1,1,2,TaS2,90.0,23.61405
mp-1219328,SeS7,P1,24,0,0,2,8,S7Se,90.13728666176374,15.56107
mp-1219856,Pr5S8,F-43m,13,1,5,1,8,Pr5S8,90.0,11.946291
mp-1220037,Pr5S9,C2,28,1,5,1,9,Pr5S9,90.0,-9.906485
mp-1220109,Ni3S2,R3m,5,1,3,1,2,Ni3S2,119.99998935568514,20.721349
mp-1220205,Nd5S4,R-3m,9,1,5,1,4,Nd5S4,120.0000122413948,49.906724
mp-1220218,Nd5S8,F-43m,13,1,5,1,8,Nd5S8,90.0,11.827835
mp-1220359,Nd5S9,C2,28,1,5,1,9,Nd5S9,90.0,-9.825383
mp-1220475,Nb7S8,P3m1,15,1,7,1,8,Nb7S8,119.99999890769902,6.462689
mp-1220631,Nb3S4,P-3m1,7,1,3,1,4,Nb3S4,120.00000369846981,13.106915
mp-1220654,Nb5S8,P312,39,1,5,1,8,Nb5S8,119.99999649185308,25.434246
mp-1220657,Nb3S5,P1,16,1,3,1,5,Nb3S5,105.81044073933192,7.361254
mp-1223103,La5S8,F-43m,13,1,5,1,8,La5S8,90.0,12.131364
mp-1223399,La5S7,Cm,24,1,5,1,7,La5S7,90.0,-5.421449
mp-1225835,Cu2S,C2/c,6,1,2,1,1,Cu2S,90.0,-7.287599
mp-1225858,Fe11S12,Cc,46,1,11,1,12,Fe11S12,90.0,-15.810499
mp-1225993,Cu2S,C2/m,6,1,2,1,1,Cu2S,90.0,-5.627616
mp-1226916,Ce5S8,F-43m,13,1,5,1,8,Ce5S8,90.0,11.802526
mp-1232117,EuS2,P4/nmm,6,1,1,1,2,EuS2,90.0,8.586979
mp-1232155,EuS2,P2_1/c,12,1,1,1,2,EuS2,90.08137232209812,8.317242
mp-1232239,PmS,I4/mmm,4,1,1,1,1,PmS,90.0,21.258628
mp-1232269,SmS2,Fd-3m,6,1,1,1,2,SmS2,90.0,7.878454
mp-1232271,PmS2,P4/nmm,6,1,1,1,2,PmS2,90.0,8.180332
mp-1232273,SmS2,P4/nmm,6,1,1,1,2,SmS2,90.0,8.124105
mp-1232280,SmS2,P2_1/c,12,1,1,1,2,SmS2,90.0,-8.061081
mp-1238797,MoS2,P-3m1,3,1,1,1,2,MoS2,120.0000153837427,6.493522
mp-1239203,MoS3,Pm,4,1,1,1,3,MoS3,90.0,-8.15408
mp-12406,US3,P2_1/m,8,1,1,1,3,US3,90.0,-9.535027
mp-1244890,ZnS,P1,100,1,1,1,1,ZnS,87.00931676169445,15.138486
mp-1244921,ZnS,P1,100,1,1,1,1,ZnS,96.76129454348127,-14.168758
mp-1244922,ZnS,P1,100,1,1,1,1,ZnS,90.10587065888842,14.342892
mp-1244936,ZnS,P1,100,1,1,1,1,ZnS,88.46967109904303,13.708831
mp-1244974,ZnS,P1,100,1,1,1,1,ZnS,87.11497750044833,13.559857
mp-1244979,ZnS,P1,100,1,1,1,1,ZnS,93.04007717908286,13.51087
mp-1244980,ZnS,P1,100,1,1,1,1,ZnS,94.8121230621044,13.567133
mp-1244986,ZnS,P1,100,1,1,1,1,ZnS,91.29048095686855,14.159341
mp-1244989,ZnS,P1,100,1,1,1,1,ZnS,87.77597343861764,13.314858
mp-1245004,ZnS,P1,100,1,1,1,1,ZnS,81.11531910974722,13.638732
mp-1245034,ZnS,P1,100,1,1,1,1,ZnS,92.9701346829303,13.764436
mp-1245035,ZnS,P1,100,1,1,1,1,ZnS,87.70839195937884,13.971692
