atom1_l1,atom2_l1,atom1_l2,atom2_l2,orientation,z
Hf,S,Hf,S,0,4.523046092184369
Hf,S,Hf,Se,0,4.597675350701403
Hf,S,Hf,Te,0,4.691943887775551
Hf,Se,Hf,S,0,4.707655310621243
Hf,Se,Hf,Se,0,4.778356713426854
Hf,Se,Hf,Te,0,4.884408817635271
Hf,Te,Hf,S,0,4.927615230460923
Hf,Te,Hf,Se,0,5.045450901803608
Hf,Te,Hf,Te,0,5.171142284569139
Hf,S,Mo,S,0,4.487695390781564
Hf,S,Mo,Se,0,4.578036072144289
Hf,S,Mo,Te,0,4.562324649298597
Hf,Se,Mo,S,0,4.754789579158317
Hf,Se,Mo,Se,0,4.817635270541082
Hf,Se,Mo,Te,0,5.501082164328658
Hf,Te,Mo,S,0,4.982605210420842
Hf,Te,Mo,Se,0,5.116152304609219
Hf,Te,Mo,Te,0,4.526973947895792
Hf,S,Nb,S,0,4.558396793587175
Hf,S,Nb,Se,0,4.613386773547095
Hf,S,Nb,Te,0,4.684088176352706
Hf,Se,Nb,S,0,4.727294589178357
Hf,Se,Nb,Se,0,4.809779559118237
Hf,Se,Nb,Te,0,4.892264529058117
Hf,Te,Nb,S,0,4.966893787575151
Hf,Te,Nb,Se,0,5.080801603206414
Hf,Te,Nb,Te,0,4.2991583166332665
Hf,S,Pd,Te,0,4.562324649298597
Hf,Se,Pd,Te,0,4.770501002004009
Hf,Te,Pd,Te,0,4.216673346693387
Hf,S,Pt,S,0,4.2402404809619245
Hf,S,Pt,Se,0,4.369859719438878
Hf,Se,Pt,S,0,4.354148296593187
Hf,Se,Pt,Se,0,4.62124248496994
Hf,Te,Pt,S,0,4.636953907815632
Hf,Te,Pt,Se,0,4.314869739478958
Hf,S,Re,Se,0,5.48929859719439
Hf,Se,Re,Se,0,4.888336673346694
Hf,Te,Re,Se,0,4.523046092184369
Hf,S,Ta,S,0,4.5505410821643295
Hf,S,Ta,Se,0,4.672304609218437
Hf,Se,Ta,S,0,4.711583166332666
Hf,Se,Ta,Se,0,4.935470941883768
Hf,Te,Ta,S,0,4.959038076152305
Hf,Te,Ta,Se,0,4.534829659318637
Hf,S,Ti,S,0,4.617314629258518
Hf,S,Ti,Se,0,4.719438877755511
Hf,S,Ti,Te,0,4.691943887775551
Hf,Se,Ti,S,0,4.786212424849699
Hf,Se,Ti,Se,0,4.904048096192385
Hf,Se,Ti,Te,0,4.825490981963928
Hf,Te,Ti,S,0,4.982605210420842
Hf,Te,Ti,Se,0,5.316472945891784
Hf,Te,Ti,Te,0,4.625170340681363
Hf,S,V,S,0,4.640881763527054
Hf,S,V,Te,0,4.707655310621243
Hf,Se,V,S,0,4.833346693386774
Hf,Se,V,Te,0,4.727294589178357
Hf,Te,V,S,0,5.037595190380762
Hf,Te,V,Te,0,3.6392785571142285
Hf,S,W,S,0,4.558396793587175
Hf,S,W,Se,0,3.6
Hf,Se,W,S,0,4.699799599198397
Hf,Se,W,Se,0,3.6392785571142285
Hf,Te,W,S,0,4.982605210420842
Hf,Te,W,Se,0,4.523046092184369
Hf,S,Zr,S,0,4.597675350701403
Hf,S,Zr,Se,0,4.691943887775551
Hf,S,Zr,Te,0,4.699799599198397
Hf,Se,Zr,S,0,4.778356713426854
Hf,Se,Zr,Se,0,4.884408817635271
Hf,Se,Zr,Te,0,4.9236873747495
Hf,Te,Zr,S,0,5.033667334669339
Hf,Te,Zr,Se,0,5.171142284569139
Hf,Te,Zr,Te,0,5.367535070140281
Mo,S,Hf,S,0,5.5403607214428865
Mo,S,Hf,Se,0,5.485370741482967
Mo,S,Hf,Te,0,4.699799599198397
Mo,Se,Hf,S,0,5.508937875751504
Mo,Se,Hf,Se,0,4.951182364729459
Mo,Se,Hf,Te,0,5.253627254509018
Mo,Te,Hf,S,0,5.171142284569139
Mo,Te,Hf,Se,0,5.151503006012025
Mo,Te,Hf,Te,0,4.5898196392785575
Mo,S,Mo,S,0,4.597675350701403
Mo,S,Mo,Se,0,5.5600000000000005
Mo,S,Mo,Te,0,4.735150300601203
Mo,Se,Mo,S,0,4.75871743486974
Mo,Se,Mo,Se,0,4.86869739478958
Mo,Se,Mo,Te,0,5.5600000000000005
Mo,Te,Mo,S,0,5.053306613226454
Mo,Te,Mo,Se,0,5.163286573146293
Mo,Te,Mo,Te,0,5.5600000000000005
Mo,S,Nb,S,0,5.512865731462926
Mo,S,Nb,Se,0,5.450020040080161
Mo,S,Nb,Te,0,4.715511022044089
Mo,Se,Nb,S,0,4.668376753507014
Mo,Se,Nb,Se,0,4.86869739478958
Mo,Se,Nb,Te,0,4.8608416833667345
Mo,Te,Nb,S,0,4.935470941883768
Mo,Te,Nb,Se,0,5.069018036072145
Mo,Te,Nb,Te,0,4.7940681362725455
Mo,S,Pd,Te,0,5.127935871743487
Mo,Se,Pd,Te,0,5.35182364729459
Mo,Te,Pd,Te,0,5.5600000000000005
Mo,S,Pt,S,0,5.363607214428859
Mo,S,Pt,Se,0,4.735150300601203
Mo,Se,Pt,S,0,4.849058116232465
